pais,ind_educ,exp_vida,pib_per_capta,populacao,crescimento,perc_urb,tx_urb,tx_mortalidade_inft,tx_mortalidade_per_mil,tx_natalidade
Afeganistão,0.365,60,1947,38928346,3.85,26,3.37,51.71,20.34,46.21
Albânia,0.609,74,16504,2877797,0.57,62.1,1.69,8.03,5.22,15.16
Alemanha,0.884,81,62389,83783942,-0.07,77.5,0.27,3.19,10.62,8.2
Angola,0.474,52,12362,32866272,2.78,66.8,4.32,61.46,24.2,44.51
Antígua e Barbuda,0.681,75.8,20392,97929,1.16,24.4,0.55,5.2,5.37,16.62
Argélia,0.643,73.12,13544,43851044,1.51,73.7,2.46,21.24,4.61,17.11
Argentina,0.783,76,23939,45195774,1,92.1,1.07,10.23,7.55,16.53
Austrália,0.927,83,59093,25499884,1.01,86.2,1.43,3.15,7.51,12.02
Áustria,0.794,81.5,63566,9006398,0.36,58.7,0.59,3.11,9.76,8.69
Azerbaijão,0.7,71.5,15907,10139177,0.75,56.4,1.58,20.83,9.75,17.47
Bahamas,0.714,76.5,38155,393244,1.2,83.2,1.13,5.88,9.05,17.3
Bangladesh,0.447,70,11706,164689383,1.67,38.2,3.17,26.85,8.27,29.36
Barbados,0.74,78.5,15295,287375,0.32,31.2,0.2,10.04,8.67,12.61
Bielorrússia,0.82,72.5,22273,9449323,-0.55,79.5,0.44,2.97,14.02,9.5
Bélgica,0.812,81,59083,11589623,0.24,98.1,0.62,2.83,10.27,10.29
Belize,0.689,77,12168,397628,2.08,46,2.32,12.81,5.72,28.34
Benim,0.414,59,10255,12123000,3.02,48.4,3.89,61.15,12.22,38.1
Butão,0.421,70.8,13730,771608,1.43,42.3,2.98,24.06,12.7,33.28
Bolívia,0.674,69,12719,11673021,1.77,70.1,1.97,29.71,7.53,22.82
Bósnia e Herzegovina,0.655,76,17184,3280819,0.13,49,0.55,6,8.27,8.8
Botswana,0.619,66,18097,2351627,1.23,70.9,2.87,30.15,29.5,23.17
Brasil,0.661,76.2,22754,215851765,1.26,87.1,1.05,13.02,6.17,16.3
Brunei,0.692,79,69105,437479,2.05,78.3,1.66,7.92,3.45,18.56
Bulgária,0.749,74.5,27681,6948445,-0.72,75.7,-0.22,6.29,14.27,9.62
Burundi,0.37,53,818,11890784,3.9,13.7,5.68,42.44,13.46,41.97
Camboja,0.495,66,11207,16718965,1.74,24.2,3.25,23.72,9.06,25.53
Camarões,0.486,61.5,10387,26545864,2,57.6,3.63,53.1,13.47,35.07
Camarões,0.486,61.5,10387,26545864,2,57.6,3.63,61.18,13.47,35.07
Canadá,0.85,82.5,56709,37742154,0.9,81.6,0.97,4.51,7.8,10.75
Cabo Verde,0.483,74.5,12208,555987,2.23,66.7,1.97,16.89,6.55,24.4
República Centro-Africana,0.318,48.5,630,4829767,1.83,42.2,2.52,81.9,18.65,33.52
Chade,0.256,51,9434,16425864,2.88,23.5,3.88,74.5,16.38,42.35
Chile,0.746,81.2,27865,19116201,1,87.7,0.87,6.72,5.81,15.03
China,0.61,76,20745,1411780000,0.58,61.4,2.42,9.89,6.97,13.45
Colômbia,0.602,74.6,16750,50882891,1.27,81.4,1.22,12.64,5.58,20.16
República Democrática do Congo,0.372,58,770,89561403,3.22,45.6,4.53,64.92,13.27,42.96
Costa Rica,0.654,79.8,22534,5094118,1.5,80.8,1.5,7.32,4.36,18.02
Chipre,0.776,81.2,44949,900432,1.06,66.8,0.75,3.54,7.68,12.56
Dinamarca,0.873,79.5,66933,5792202,0.21,88.1,0.51,3.13,10.36,10.91
República Dominicana,0.59,73.2,22351,10847910,1.47,82.5,2.06,25.85,5.73,22.91
Equador,0.594,76,13308,17643054,1.07,64.2,1.66,13.6,4.23,21.91
El Salvador,0.553,74.6,12864,6486205,1.37,73.4,1.57,14.57,5.78,26.13
Guiné Equatorial,0.415,54,17582,1402985,2.38,73.1,4.28,66.13,15.06,35.16
Eritreia,0.228,61.5,1297,3546421,3.24,41.3,3.86,34.72,9.6,33.97
Estónia,0.859,76.1,44907,1326335,-0.35,69.2,0.01,1.99,13.25,10.17
Etiópia,0.317,60.5,1801,114963588,2.51,21.7,4.63,37,14.86,37.39
Fiji,0.767,73,13640,896445,0.62,57.2,1.62,20.32,5.65,22.37
Finlândia,0.815,81,56153,5540720,0.29,85.5,0.42,1.71,9.86,10.42
França,0.816,82.3,54185,65273511,0.49,81,0.72,3.03,9.14,12.91
Gabão,0.589,64,17474,2225734,1.48,90.1,2.61,35.28,12.25,35.96
Gâmbia,0.346,59,1646,2416668,2.63,62.6,4.07,44.83,12.25,38.86
Geórgia,0.77,74.5,18019,3989167,-0.79,59.5,0.42,9.37,9.23,10.54
Gana,0.553,66,11909,31072940,1.99,57.3,3.34,35.63,9.72,29.85
Grécia,0.797,81,34367,10423054,0.21,79.7,0.22,2.82,10.24,9.62
Granada,0.724,76.5,17715,112523,0.02,36.5,0.76,14.99,6.88,21.87
Guatemala,0.484,71.5,12644,17915568,2.47,51.8,2.68,20.74,5.2,29.09
Guiné,0.294,55,1214,13132795,2.16,36.5,3.54,51.64,15.48,41.53
Guiné-Bissau,0.325,50,1508,1968001,2.98,44.2,3.41,57.12,16.53,36.81
Guiana,0.582,70.5,37349,786552,-0.22,26.8,0.83,26.76,8.28,18.09
Haiti,0.374,63,1750,11402528,1.58,57.1,2.9,54.3,12.17,35.87
Honduras,0.505,74,11845,9904607,1.95,58.4,2.75,15.04,5.28,27.59
Hungria,0.805,75,39892,9660351,-0.29,71.9,0.07,4.05,13.11,9.66
Islândia,0.847,83.3,62422,341243,0.84,93.9,0.81,1.25,6.72,13.57
Índia,0.473,65,12365,1326155000,1.46,34.9,2.37,32,8.18,22.69
