"name", "pais"
"Afghanistan", "Afeganistão"
"Andorra", "Andorra"
"Angola", "Angola"
"Antigua and Barbuda", "Antígua e Barbuda"
"Algeria", "Argélia"
"Argentina", "Argentina"
"Armenia", "Armênia"
"Australia", "Austrália"
"Austria", "Áustria"
"Azerbaijan", "Azerbaijão"
"The Bahamas", "Bahamas"
"Bangladesh", "Bangladesh"
"Barbados", "Barbados"
"Bahrain", "Barém"
"Belarus", "Bielorrússia"
"Belgium", "Bélgica"
"Belize", "Belize"
"Benin", "Benim"
"Bolivia", "Bolívia"
"Bosnia and Herzegovina", "Bósnia e Herzegovina"
"Botswana", "Botsuana"
"Brazil", "Brasil"
"Brunei", "Brunei"
"Bulgaria", "Bulgária"
"BurkinaFaso", "BurkinaFaso"
"Burundi", "Burundi"
"Bhutan", "Butão"
"Cape Verde", "Cabo Verde"
"Cameroon", "Camarões"
"Cambodia", "Camboja"
"Canada", "Canadá"
"Central African Republic", "República Centro-Africana"
"Chad", "Chade"
"China", "China"
"Chile", "Chile"
"Cook Islands", "Ilhas Cook"
"Colombia", "Colômbia"
"Comoros", "Comores"
"Costa Rica", "Costa Rica"
"Croatia", "Croácia"
"Cuba", "Cuba"
"Cyprus", "Chipre"
"Czech Republic", "República Tcheca"
"Democratic Republic of Congo", "República Democrática do Congo"
"Denmark", "Dinamarca"
"Djibouti", "Djibuti"
"Dominica", "Dominica"
"Dominican Republic", "República Dominicana"
"East Timor", "Timor Leste"
"Ecuador", "Equador"
"Egypt", "Egito"
"El Salvador", "El Salvador"
"England", "Inglaterra"
"Equatorial Guinea", "Guiné Equatorial"
"Eritrea", "Eritreia"
"Estônia", "Estônia"
"Fiji", "Fiji"
"Finland", "Finlândia"
"France", "França"
"Gabon", "Gabão"
"Gambia", "Gâmbia"
"Georgia", "Geórgia"
"Germany", "Alemanha"
"Grenada", "Granada"
"Greece", "Grécia"
"Guatemala", "Guatemala"
"Guinea", "Guiné"
"Guinea–Bissau", "GuinéBissau"
"Guyana", "Guiana"
"Haiti", "Haiti"
"Holland", "Holanda"
"Honduras", "Honduras"
"Hungary", "Hungria"
"Iceland", "Islândia"
"India", "Índia"
"Indonesia", "Indonésia"
"Iran", "Irã"
"Ireland", "Irlanda"
"Israel", "Israel"
"Italy", "Itália"
"Ivory Coast", "Costa do Marfim"
"Jamaica", "Jamaica"
"Japan", "Japão"
"Jordan", "Jordânia"
"Kazakhstan", "Cazaquistão"
"Kenya", "Quênia"
"Kiribati", "Quiribati"
"Kyrgyzstan", "Quirguistão"
"Kwait", "Kuwait"
"Laos", "Laos"
"Latvia", "Letônia"
"Lebanon", "Líbano"
"Lesotho", "Lesoto"
"Liberia", "Libéria"
"Liechtenstein", "Liechtenstein"
